state_id,peer_group_id,triage_category_id,value
2,3,3,99.9548
2,3,1,74.9598
2,3,5,67.904
2,3,4,73.1714
2,3,2,86.9421
2,4,3,99.9675
2,4,1,73.7796
2,4,5,60.0246
2,4,4,67.0635
2,4,2,85.4447
2,5,3,99.96
2,5,1,76.2646
2,5,5,71.6857
2,5,4,73.9467
2,5,2,88.7823
2,6,3,99.7623
2,6,1,82.5362
2,6,5,80.9371
2,6,4,82.6513
2,6,2,93.7787
2,2,3,100.0
2,2,1,83.6672
2,2,5,88.1523
2,2,4,89.6812
2,2,2,97.5413
2,1,3,99.9512
2,1,1,75.6227
2,1,5,67.8571
2,1,4,74.1231
2,1,2,90.1395
7,3,3,100.0
7,3,1,64.277
7,3,5,72.3761
7,3,4,73.4373
7,3,2,88.5196
7,4,3,100.0
7,4,1,63.7937
7,4,5,65.8947
7,4,4,74.949
7,4,2,90.2398
7,5,3,100.0
7,5,1,58.5693
7,5,5,70.784
7,5,4,78.4459
7,5,2,93.2116
7,6,3,100.0
7,6,1,70.6906
7,6,5,71.8964
7,6,4,78.8372
7,6,2,89.6472
7,2,3,100.0
7,2,1,85.9486
7,2,5,77.5346
7,2,4,83.5321
7,2,2,96.5116
7,1,3,100.0
7,1,1,63.9682
7,1,5,69.1766
7,1,4,75.7456
7,1,2,90.6623
4,3,3,99.9595
4,3,1,74.9079
4,3,5,67.5799
4,3,4,76.8113
4,3,2,91.6651
4,4,3,99.9725
4,4,1,71.171
4,4,5,64.2176
4,4,4,77.0172
4,4,2,92.8014
4,5,3,99.9021
4,5,1,74.3184
4,5,5,73.7833
4,5,4,80.6796
4,5,2,94.6537
4,6,3,. .
4,6,1,. .
4,6,5,. .
4,6,4,. .
4,6,2,. .
4,2,3,. .
4,2,1,. .
4,2,5,. .
4,2,4,. .
4,2,2,. .
4,1,3,99.9584
4,1,1,73.0111
4,1,5,67.2104
4,1,4,77.6974
4,1,2,92.6397
8,3,3,100
8,3,1,63.2382
8,3,5,21.7646
8,3,4,37.1478
8,3,2,64.2091
8,4,3,99.9242
8,4,1,64.1013
8,4,5,11.136
8,4,4,25.8887
8,4,2,61.8746
8,5,3,99.1906
8,5,1,71.4708
8,5,5,47.8102
8,5,4,57.9975
8,5,2,83.6795
8,6,3,99.4969
8,6,1,79.1092
8,6,5,70.4317
8,6,4,73.7611
8,6,2,90.7853
8,2,3,. .
8,2,1,. .
8,2,5,. .
8,2,4,. .
8,2,2,. .
8,1,3,99.8387
8,1,1,66.5659
8,1,5,29.4146
8,1,4,46.9861
8,1,2,80.4318
5,3,3,98.5025
5,3,1,49.6451
5,3,5,35.8249
5,3,4,54.1114
5,3,2,77.8728
5,4,3,99.9588
5,4,1,35.5288
5,4,5,33.6149
5,4,4,52.5472
5,4,2,79.1522
5,5,3,97.2274
5,5,1,72.4988
5,5,5,57.812
5,5,4,66.7448
5,5,2,89.1915
5,6,3,99.4528
5,6,1,59.1007
5,6,5,59.2465
5,6,4,71.809
5,6,2,89.6098
5,2,3,. .
5,2,1,. .
5,2,5,. .
5,2,4,. .
5,2,2,. .
5,1,3,98.9319
5,1,1,50.1697
5,1,5,43.66
5,1,4,61.4072
5,1,2,84.3354
6,3,3,99.537
6,3,1,39.0862
6,3,5,27.6252
6,3,4,37.2238
6,3,2,64.5833
6,4,3,99.5798
6,4,1,50.4754
6,4,5,36.6303
6,4,4,50.0274
6,4,2,80.7671
6,5,3,n.p.
6,5,1,74.369
6,5,5,75.0731
6,5,4,75.9941
6,5,2,91.2343
6,6,3,. .
6,6,1,. .
6,6,5,. .
6,6,4,. .
6,6,2,. .
6,2,3,. .
6,2,1,. .
6,2,5,. .
6,2,4,. .
6,2,2,. .
6,1,3,99.5763
6,1,1,46.8936
6,1,5,37.7792
6,1,4,52.3496
6,1,2,74.2923
1,3,3,99.115
1,3,1,62.7306
1,3,5,47.9112
1,3,4,64.3585
1,3,2,87.0656
1,4,3,98.7234
1,4,1,68.2772
1,4,5,56.5701
1,4,4,74.7388
1,4,2,91.265
1,5,3,. .
1,5,1,. .
1,5,5,. .
1,5,4,. .
1,5,2,. .
1,6,3,. .
1,6,1,. .
1,6,5,. .
1,6,4,. .
1,6,2,. .
1,2,3,. .
1,2,1,. .
1,2,5,. .
1,2,4,. .
1,2,2,. .
1,1,3,99.0253
1,1,1,64.4283
1,1,5,51.2261
1,1,4,68.5805
1,1,2,88.7337
3,3,3,100
3,3,1,36.512
3,3,5,18.0986
3,3,4,33.1376
3,3,2,64.667
3,4,3,100
3,4,1,69.0614
3,4,5,63.2142
3,4,4,57.2527
3,4,2,92.1492
3,5,3,. .
3,5,1,. .
3,5,5,. .
3,5,4,. .
3,5,2,. .
3,6,3,91.8421
3,6,1,52.499
3,6,5,45.4794
3,6,4,54.3907
3,6,2,83.9807
3,2,3,. .
3,2,1,. .
3,2,5,. .
3,2,4,. .
3,2,2,. .
3,1,3,98.4168
3,1,1,49.1614
3,1,5,40.0083
3,1,4,47.9467
3,1,2,82.2797
