state_id,year_id,spending
2,1,62177.1890846247
2,2,64133.4013681651
2,3,65046.5070076304
2,4,65866.657831468
2,5,67822.6269649457
2,6,71604.9960382707
2,7,72075.7016839817
2,8,76367.7846186747
2,9,79592.6023212408
2,10,78992.1432734052
2,11,79977.9152271542
7,1,47462.3996183947
7,2,49159.291597491
7,3,50728.7402710244
7,4,53014.3290726792
7,5,55074.6854743146
7,6,57098.2271382016
7,7,58830.6981902016
7,8,64112.9273609028
7,9,70183.3457424544
7,10,68992.0026759275
7,11,67960.4849789833
4,1,42088.4078337259
4,2,42707.6820306419
4,3,44932.0778856136
4,4,46456.1960177054
4,5,47425.6982237689
4,6,47930.0490306551
4,7,49211.9017380124
4,8,52500.9800343905
4,9,55165.7371805687
4,10,56006.9049279155
4,11,57357.3624297545
8,1,21154.7560302517
8,2,22035.9535779963
8,3,22641.3448464525
8,4,22517.6095792098
8,5,22966.9178008806
8,6,24554.473784606
8,7,24488.7696062132
8,8,26932.4033410086
8,9,28783.1357470453
8,10,29325.1185356462
8,11,29527.5875079443
5,1,14923.6465338458
5,2,14952.284266773
5,3,15332.4525198108
5,4,18843.0622740296
5,5,16000.1127258434
5,6,16355.07440661
5,7,16731.4301287542
5,8,17705.7339501516
5,9,18661.8267269037
5,10,18830.8765890559
5,11,19376.1672879
6,1,4370.93583953826
6,2,4465.72252936254
6,3,5047.30367795031
6,4,5056.0112764254
6,5,5220.84922299133
6,6,5606.37201666449
6,7,5555.42127138041
6,8,5953.52203099332
6,9,6464.72733955082
6,10,6384.09351580947
6,11,6625.40024467938
1,1,3420.08854920146
1,2,3547.29953411144
1,3,3819.62627081498
1,4,3866.12137653273
1,5,3962.58179981451
1,6,4249.70848267394
1,7,4564.64023633129
1,8,4983.24761060828
1,9,5379.47691141604
1,10,5754.92578963862
1,11,6118.69164171226
3,1,2641.63234667927
3,2,2644.87037620955
3,3,2865.754166548
3,4,3139.77573626591
3,5,3161.99274573994
3,6,2996.69991235071
3,7,3059.2939114402
3,8,3139.24882140921
3,9,3497.39349809659
3,10,3372.31906509596
3,11,3542.36234613982
