state,year,value
NSW,2020–21,68.965
Vic,2020–21,61.9723
Qld,2020–21,69.1127
WA,2020–21,70.6972
SA,2020–21,60.7775
Tas,2020–21,57.712
ACT,2020–21,56.6293
NT,2020–21,63.5884
NSW,2020–21,35.7646
Vic,2020–21,44.5988
Qld,2020–21,48.5399
WA,2020–21,42.5633
SA,2020–21,42.2457
Tas,2020–21,23.3189
ACT,2020–21,37.7422
NT,2020–21,32.0501
NSW,2021–22,64.2372
Vic,2021–22,55.3146
Qld,2021–22,61.355
WA,2021–22,64.5944
SA,2021–22,57.5591
Tas,2021–22,55.1519
ACT,2021–22,52.3739
NT,2021–22,58.7687
NSW,2021–22,28.6853
Vic,2021–22,36.861
Qld,2021–22,38.959
WA,2021–22,34.0463
SA,2021–22,39.1044
Tas,2021–22,24.5344
ACT,2021–22,32.9806
NT,2021–22,27.4266
NSW,2022–23,58.6348
Vic,2022–23,51.9815
Qld,2022–23,53.9983
WA,2022–23,60.4344
SA,2022–23,51.9749
Tas,2022–23,51.3848
ACT,2022–23,47.8856
NT,2022–23,60.6137
NSW,2022–23,24.6022
Vic,2022–23,33.7673
Qld,2022–23,34.7726
WA,2022–23,29.5588
SA,2022–23,32.3177
Tas,2022–23,22.0342
ACT,2022–23,32.1184
NT,2022–23,39.7813
NSW,2023–24,57.4209
Vic,2023–24,53.2019
Qld,2023–24,51.8571
WA,2023–24,59.1479
SA,2023–24,50.777
Tas,2023–24,50.4281
ACT,2023–24,56.2355
NT,2023–24,55.2646
NSW,2023–24,24.6028
Vic,2023–24,36.3212
Qld,2023–24,33.1443
WA,2023–24,28.5305
SA,2023–24,29.7894
Tas,2023–24,20.6608
ACT,2023–24,43.3492
NT,2023–24,28.9395
NSW,2024–25,56.3124
Vic,2024–25,52.6708
Qld,2024–25,49.9313
WA,2024–25,53.931
SA,2024–25,49.6229
Tas,2024–25,47.4511
ACT,2024–25,60.7555
NT,2024–25,53.6013
NSW,2024–25,24.4768
Vic,2024–25,36.8371
Qld,2024–25,31.353
WA,2024–25,23.1186
SA,2024–25,27.8981
Tas,2024–25,20.471
ACT,2024–25,48.6886
NT,2024–25,29.162
