state,measure,year,value
NSW,Presentations,2020–21,3068572.0
Vic,Presentations,2020–21,1772359.0
Qld,Presentations,2020–21,1887381.0
WA,Presentations,2020–21,997816.0
SA,Presentations,2020–21,580575.0
Tas,Presentations,2020–21,170287.0
ACT,Presentations,2020–21,153713.0
NT,Presentations,2020–21,177654.0
NSW,"Age-standardised rate per 1,000 population",2020–21,371.64432269
Vic,"Age-standardised rate per 1,000 population",2020–21,263.09864207
Qld,"Age-standardised rate per 1,000 population",2020–21,365.4726637
WA,"Age-standardised rate per 1,000 population",2020–21,366.78297245
SA,"Age-standardised rate per 1,000 population",2020–21,319.17095578
Tas,"Age-standardised rate per 1,000 population",2020–21,304.0248138
ACT,"Age-standardised rate per 1,000 population",2020–21,346.04428404
NT,"Age-standardised rate per 1,000 population",2020–21,738.79398685
NSW,Presentations,2021–22,3012992.0
Vic,Presentations,2021–22,1856312.0
Qld,Presentations,2021–22,1867860.0
WA,Presentations,2021–22,991522.0
SA,Presentations,2021–22,572886.0
Tas,Presentations,2021–22,173276.0
ACT,Presentations,2021–22,143693.0
NT,Presentations,2021–22,171336.0
NSW,"Age-standardised rate per 1,000 population",2021–22,365.61964768
Vic,"Age-standardised rate per 1,000 population",2021–22,279.63263253
Qld,"Age-standardised rate per 1,000 population",2021–22,359.25656667
WA,"Age-standardised rate per 1,000 population",2021–22,360.6314205
SA,"Age-standardised rate per 1,000 population",2021–22,313.20563131
Tas,"Age-standardised rate per 1,000 population",2021–22,305.2553611
ACT,"Age-standardised rate per 1,000 population",2021–22,317.40308574
NT,"Age-standardised rate per 1,000 population",2021–22,707.79031623
NSW,Presentations,2022–23,3076083.0
Vic,Presentations,2022–23,1894732.0
Qld,Presentations,2022–23,1735935.0
WA,Presentations,2022–23,994112.0
SA,Presentations,2022–23,598666.0
Tas,Presentations,2022–23,173888.0
ACT,Presentations,2022–23,145718.0
NT,Presentations,2022–23,181785.0
NSW,"Age-standardised rate per 1,000 population",2022–23,367.62231577
Vic,"Age-standardised rate per 1,000 population",2022–23,282.0061821
Qld,"Age-standardised rate per 1,000 population",2022–23,325.67284912
WA,"Age-standardised rate per 1,000 population",2022–23,354.83567403
SA,"Age-standardised rate per 1,000 population",2022–23,323.44892359
Tas,"Age-standardised rate per 1,000 population",2022–23,303.01081935
ACT,"Age-standardised rate per 1,000 population",2022–23,316.85396552
NT,"Age-standardised rate per 1,000 population",2022–23,737.25743861
NSW,Presentations,2023–24,3178428.0
Vic,Presentations,2023–24,1923674.0
Qld,Presentations,2023–24,1770087.0
WA,Presentations,2023–24,1022259.0
SA,Presentations,2023–24,605725.0
Tas,Presentations,2023–24,177639.0
ACT,Presentations,2023–24,156029.0
NT,Presentations,2023–24,184560.0
NSW,"Age-standardised rate per 1,000 population",2023–24,370.94358067
Vic,"Age-standardised rate per 1,000 population",2023–24,277.31715341
Qld,"Age-standardised rate per 1,000 population",2023–24,322.16988485
WA,"Age-standardised rate per 1,000 population",2023–24,351.59559445
SA,"Age-standardised rate per 1,000 population",2023–24,319.63030515
Tas,"Age-standardised rate per 1,000 population",2023–24,306.87560959
ACT,"Age-standardised rate per 1,000 population",2023–24,332.36315216
NT,"Age-standardised rate per 1,000 population",2023–24,735.57566109
NSW,Presentations,2024–25,3160473.0
Vic,Presentations,2024–25,1978267.0
Qld,Presentations,2024–25,1766839.0
WA,Presentations,2024–25,1027017.0
SA,Presentations,2024–25,622876.0
Tas,Presentations,2024–25,183120.0
ACT,Presentations,2024–25,167603.0
NT,Presentations,2024–25,188117.0
NSW,"Age-standardised rate per 1,000 population",2024–25,361.50445892
Vic,"Age-standardised rate per 1,000 population",2024–25,278.67500057
Qld,"Age-standardised rate per 1,000 population",2024–25,313.08507996
WA,"Age-standardised rate per 1,000 population",2024–25,342.75388175
SA,"Age-standardised rate per 1,000 population",2024–25,323.68477041
Tas,"Age-standardised rate per 1,000 population",2024–25,314.22101749
ACT,"Age-standardised rate per 1,000 population",2024–25,350.82214714
NT,"Age-standardised rate per 1,000 population",2024–25,739.51156067
