year,state,avg_spending_per_person
2013–14,NSW,8340.40324475196
2014–15,NSW,8480.818718350207
2015–16,NSW,8479.090977988297
2016–17,NSW,8449.182436490722
2017–18,NSW,8584.11473321621
2018–19,NSW,8946.638777208593
2019–20,NSW,8911.03916899625
2020–21,NSW,9434.76083400352
2021–22,NSW,9805.598546522564
2022–23,NSW,9558.529097774506
2023–24,NSW,9479.33139306829
2013–14,Vic,8137.455282416749
2014–15,Vic,8251.647935831434
2015–16,Vic,8325.674103560368
2016–17,Vic,8501.6342095207
2017–18,Vic,8661.979625447195
2018–19,Vic,8811.869561484236
2019–20,Vic,8927.200581209794
2020–21,Vic,9762.60448500506
2021–22,Vic,10706.8202217836
2022–23,Vic,10296.70678757409
2023–24,Vic,9880.058311551851
2013–14,Qld,8982.809899718233
2014–15,Qld,8996.27470200027
2015–16,Qld,9351.239213036602
2016–17,Qld,9513.98246377958
2017–18,Qld,9559.77279093259
2018–19,Qld,9497.805585222179
2019–20,Qld,9593.447649308688
2020–21,Qld,10126.86116841553
2021–22,Qld,10508.41598876438
2022–23,Qld,10416.63736007912
2023–24,Qld,10398.34460562963
2013–14,WA,8454.503031047907
2014–15,WA,8714.619947883133
2015–16,WA,8886.817498004117
2016–17,WA,8763.059231341223
2017–18,WA,8833.674548249259
2018–19,WA,9313.623323514152
2019–20,WA,9107.698123293412
2020–21,WA,9871.90516669444
2021–22,WA,10416.44437220267
2022–23,WA,10327.48054361461
2023–24,WA,10048.9171799966
2013–14,SA,8893.43508654428
2014–15,SA,8831.269533923727
2015–16,SA,8987.701491796473
2016–17,SA,10957.94454112609
2017–18,SA,9218.492122187603
2018–19,SA,9315.3355792996
2019–20,SA,9405.34418973348
2020–21,SA,9866.590035046593
2021–22,SA,10322.72604302911
2022–23,SA,10233.1320616089
2023–24,SA,10356.06539609631
2013–14,Tas,8520.093641586034
2014–15,Tas,8687.500057121117
2015–16,Tas,9787.400431167145
2016–17,Tas,9686.197919896318
2017–18,Tas,9821.731133381361
2018–19,Tas,10326.19858040674
2019–20,Tas,10039.79699891642
2020–21,Tas,10595.69914446888
2021–22,Tas,11349.41221004377
2022–23,Tas,11134.85909099696
2023–24,Tas,11538.97105535477
2013–14,ACT,8853.039592256793
2014–15,ACT,9049.672137454214
2015–16,ACT,9576.022179472666
2016–17,ACT,9455.439951605931
2017–18,ACT,9429.644524171541
2018–19,ACT,9865.651903560562
2019–20,ACT,10367.89093057461
2020–21,ACT,11132.01744802475
2021–22,ACT,11796.96913721569
2022–23,ACT,12352.99274617464
2023–24,ACT,12885.82370384964
2013–14,NT,10902.14089193439
2014–15,NT,10895.31489295519
2015–16,NT,11740.56358944652
2016–17,NT,12759.94447103778
2017–18,NT,12808.7463673629
2018–19,NT,12185.66978021596
2019–20,NT,12425.39553736074
2020–21,NT,12667.50661333154
2021–22,NT,13961.65069100435
2022–23,NT,13209.55081238086
2023–24,NT,13673.85421248208
