Year,expenditure_area,spending
2013–14,Hospitals,58762.8489984373
2014–15,Hospitals,62215.944781223
2015–16,Hospitals,68489.8791896394
2016–17,Hospitals,71948.0572560892
2017–18,Hospitals,77062.2919555694
2018–19,Hospitals,82125.0697339777
2019–20,Hospitals,86625.2264942465
2020–21,Hospitals,92339.596646483
2021–22,Hospitals,98493.5380236764
2022–23,Hospitals,107084.260287032
2023–24,Hospitals,113836.131357463
2013–14,Primary health care,53693.7206942394
2014–15,Primary health care,55313.012034876
2015–16,Primary health care,58219.1308378317
2016–17,Primary health care,60842.3035779221
2017–18,Primary health care,63026.4486167591
2018–19,Primary health care,66049.2855377985
2019–20,Primary health care,67452.6512097276
2020–21,Primary health care,76547.5894561945
2021–22,Primary health care,88771.1401161082
2022–23,Primary health care,85883.8611017928
2023–24,Primary health care,89135.595135033
2013–14,Referred medical services,16850.2854439804
2014–15,Referred medical services,17636.9721392616
2015–16,Referred medical services,15522.9142912045
2016–17,Referred medical services,16157.4599103891
2017–18,Referred medical services,17022.5182038306
2018–19,Referred medical services,17649.3265912435
2019–20,Referred medical services,18081.0711093708
2020–21,Referred medical services,20729.1536635349
2021–22,Referred medical services,21897.2909637243
2022–23,Referred medical services,21319.4296530241
2023–24,Referred medical services,23627.2767046901
2013–14,Other services,10531.8792262763
2014–15,Other services,11307.793133058
2015–16,Other services,11928.4841810932
2016–17,Other services,13046.6579568922
2017–18,Other services,13803.0716360106
2018–19,Other services,14433.014988685
2019–20,Other services,14277.301799188
2020–21,Other services,15404.0557024094
2021–22,Other services,16738.358956895
2022–23,Other services,18609.6942121702
2023–24,Other services,20036.1416642238
2013–14,Research,4997.11405993707
2014–15,Research,4730.50599149309
2015–16,Research,4891.82872121786
2016–17,Research,5264.19266882894
2017–18,Research,5328.20709593128
2018–19,Research,5893.42487017711
2019–20,Research,6663.07242671052
2020–21,Research,6857.59991114328
2021–22,Research,7264.1530768783
2022–23,Research,7370.07287480622
2023–24,Research,7642.11380304164
2013–14,Capital,9114.07100001924
2014–15,Capital,9566.66099989914
2015–16,Capital,10204.8372197443
2016–17,Capital,12667.3950000805
2017–18,Capital,9278.03342690671
2018–19,Capital,10447.0939999598
2019–20,Capital,11145.0389999738
2020–21,Capital,11733.1229999707
2021–22,Capital,11724.4759999651
2022–23,Capital,14825.7119999705
2023–24,Capital,16208.7129998292
